iter	RMSE
0	29017092.77
1	28153442.44
2	27356168.9
3	26538400.98
4	25766557.98
5	25060036.49
6	24351607.86
7	23794643.31
8	23189715.06
9	22652011.83
10	22064762.93
11	21472464.44
12	21001879.37
13	20496493.56
14	20011252.93
15	19557487.24
16	19179075.72
17	18797551.42
18	18430910.42
19	18071880.65
20	17737085.9
21	17415727.42
22	17101171.27
23	16793404.54
24	16521531.66
25	16244746.56
26	15989452.93
27	15739039.14
28	15538050.98
29	15283458.27
30	15082321.87
31	14853347.58
32	14607863.76
33	14407786.04
34	14215700.43
35	14042309.08
36	13852789.72
37	13692019.45
38	13519192.35
39	13357863.71
40	13198003.92
41	13067469.63
42	12954015.89
43	12797953.7
44	12685347.36
45	12576645.97
46	12455020.08
47	12359666.18
48	12239008.36
49	12144696.69
50	12037475.26
51	11922578.21
52	11836791.81
53	11745730.84
54	11714505.33
55	11632340.86
56	11559793.7
57	11478775.69
58	11446550.94
59	11385313.47
60	11361845
61	11274873.46
62	11211783.36
63	11180862.07
64	11149231.01
65	11130574.55
66	11103925.65
67	11072774.87
68	11044612.62
69	10970315.73
70	10953161.51
71	10871856.92
72	10801908.42
73	10720375.02
74	10704274.46
75	10676031.19
76	10644265.88
77	10626015.74
78	10610555.11
79	10532852.25
80	10467938.03
81	10403823.76
82	10351668.9
83	10331343.24
84	10315887.8
85	10293405.64
86	10278659.13
87	10210413.26
88	10194722.45
89	10181633.37
90	10164963.29
91	10102987.24
92	10033852.21
93	10020522.42
94	10002929.86
95	9986183.259
96	9937678.32
97	9874823.362
98	9860321.593
99	9838068.781
100	9805057.087
101	9786825.277
102	9738500.736
103	9726429.485
104	9683314.949
105	9633562.937
106	9619867.479
107	9606055.104
108	9593759.693
109	9539373.948
110	9485923.511
111	9451847.949
112	9402109.062
113	9370560.617
114	9355438.285
115	9335696.762
116	9292184.702
117	9276344.827
118	9264806.408
119	9249036.307
120	9203056.35
121	9193439.381
122	9165188.868
123	9151185.309
124	9121298.56
125	9107493.197
126	9095828.988
127	9082886.326
128	9066964.184
129	9028003.892
130	9020990.577
131	9010040.71
132	8992163.775
133	8939362.499
134	8915733.029
135	8880424.692
136	8845750.097
137	8835873.42
138	8806641.684
139	8795691.649
140	8783596.646
141	8771206.715
142	8731706.193
143	8719909.922
144	8705940.788
145	8693965.39
146	8681886.683
147	8636932.554
148	8627808.041
149	8604458.024
150	8593137.785
151	8581077.084
152	8570369.365
153	8557961.516
154	8524385.363
155	8508243.802
156	8498068.971
157	8488840.873
158	8450469.646
159	8441450.807
160	8429768.453
161	8420190.24
162	8381093.046
163	8357870.749
164	8332472.227
165	8322243.576
166	8297424.982
167	8273359.94
168	8262931.905
169	8252576.615
170	8242194.02
171	8222147.351
172	8211549.195
173	8201712.217
174	8191295.582
175	8181062.414
176	8170806.866
177	8161633.746
178	8146830.805
179	8133081.543
180	8110161.746
181	8099008.085
182	8090127.722
183	8080871.329
184	8071693.117
185	8042256.534
186	8033375.708
187	8019110.56
188	8011040.443
189	7996698.691
190	7988057.364
191	7979424.087
192	7970881.374
193	7948109.113
194	7939761.769
195	7931445.898
196	7908882.539
197	7901107.975
198	7892982.609
199	7879897.968
200	7872094.539
201	7864380.112
202	7857026.892
203	7849785.16
204	7829815.06
205	7822530.616
206	7815157.78
207	7806112.163
208	7781792.698
209	7742881.903
210	7708922.386
211	7701785.835
212	7694809.284
213	7687838.717
214	7660478.98
215	7645485.569
216	7638718.355
217	7606540.135
218	7599756.386
219	7588926.452
220	7582262.502
221	7575647.899
222	7569121.61
223	7562748.75
224	7556529.956
225	7536922.359
226	7508947.669
227	7488794.247
228	7455553.101
229	7449395.969
230	7443267.732
231	7427782.738
232	7421784.607
233	7415931.508
234	7395283.944
235	7389479.539
236	7383720.72
237	7369404.368
238	7363705.686
239	7346686.298
240	7341083.394
241	7335537.627
242	7330017.282
243	7323360.681
244	7317914.614
245	7312563.422
246	7307228.051
247	7301935.008
248	7280122.53
249	7274937.876
250	7269815.625
251	7264706.72
252	7237068.809
253	7231984.151
254	7222739.281
255	7217717.166
256	7212738.635
257	7207811.655
258	7199193.092
259	7175041.644
260	7170151.09
261	7165337.429
262	7160541.382
263	7113477.129
264	7108662.488
265	7086636.282
266	7081896.19
267	7073792.831
268	7069117.215
269	7064492.627
270	7040825.26
271	7036215.086
272	7031642.343
273	7027118.418
274	7017735.486
275	6982212.445
276	6977405.966
277	6954946.842
278	6950492.166
279	6946091.217
280	6941436.595
281	6936839.865
282	6932308.927
283	6901461.18
284	6896969.279
285	6892569.465
286	6870166.839
287	6862418.543
288	6858044.641
289	6823799.455
290	6819613.961
291	6815463.975
292	6811347.834
293	6807265.833
294	6803212.565
295	6787712.052
296	6783674.727
297	6776259.703
298	6772256.483
299	6768275.835
300	6740252.898
301	6736293.003
302	6732370.153
303	6728481.758
304	6721336.698
305	6717466.815
306	6713636.956
307	6709671.955
308	6705875.532
309	6699026.298
310	6695253.809
311	6691513.234
312	6687785.144
313	6667645.813
314	6661433.761
315	6644583.829
316	6640880.132
317	6622997.189
318	6597835.799
319	6594138.899
320	6590497.955
321	6586881.309
322	6583286.588
323	6564620.301
324	6557229.996
325	6553672.805
326	6550129.743
327	6546611.713
328	6543123.431
329	6539653.421
330	6528851.737
331	6525385.427
332	6508613.535
333	6505160.327
334	6498127.913
335	6494699.251
336	6487805.034
337	6484393.43
338	6481000.197
339	6477628.256
340	6474267.268
341	6470930.195
342	6464299.07
343	6460976.104
344	6449855.89
345	6446545.51
346	6443242.571
347	6439964.232
348	6436690.929
349	6433449.369
350	6430215.104
351	6408825.007
352	6403142.092
353	6388691.996
354	6385458.222
355	6382255.712
356	6367082.842
357	6361320.262
358	6358129.556
359	6354961.508
360	6351814.138
361	6348680.149
362	6336838.037
363	6333731.036
364	6330639.858
365	6327546.332
366	6324483.831
367	6321437.933
368	6303748.5
369	6299105.706
370	6296068.145
371	6293046.069
372	6290046.737
373	6287073.575
374	6284109.854
375	6281160.987
376	6278231.789
377	6273732.526
378	6270821.491
379	6267909.134
380	6259072.854
381	6256172.807
382	6253294.33
383	6250437.479
384	6240925.944
385	6238075.268
386	6234088.92
387	6231244.8
388	6200859.301
389	6198010.763
390	6195187.948
391	6192386.772
392	6189604.606
