iter	Passed	Remaining
0	5	5598
1	11	5636
2	20	6819
3	27	6742
4	34	6815
5	41	6828
6	48	6838
7	56	6958
8	64	7064
9	71	7055
10	77	6939
11	83	6892
12	90	6845
13	96	6777
14	103	6771
15	110	6822
16	118	6831
17	124	6805
18	131	6780
19	140	6902
20	147	6895
21	154	6888
22	161	6865
23	168	6871
24	176	6892
25	184	6898
26	191	6891
27	201	7009
28	210	7048
29	219	7083
30	231	7227
31	240	7288
32	247	7239
33	253	7213
34	262	7227
35	270	7237
36	278	7240
37	285	7230
38	295	7293
39	304	7319
40	312	7315
41	325	7431
42	342	7626
43	358	7795
44	368	7811
45	377	7823
46	390	7916
47	399	7929
48	411	7989
49	421	7999
50	428	7978
51	438	8000
52	447	7991
53	458	8025
54	467	8033
55	479	8088
56	488	8087
57	497	8086
58	506	8081
59	522	8188
60	534	8230
61	546	8274
62	572	8517
63	581	8502
64	589	8485
65	597	8461
66	612	8532
67	628	8611
68	642	8669
69	654	8701
70	666	8714
71	675	8712
72	685	8708
73	706	8839
74	718	8865
75	734	8925
76	768	9208
77	789	9327
78	799	9315
79	809	9311
80	826	9373
81	838	9383
82	853	9430
83	862	9403
84	871	9378
85	891	9472
86	906	9516
87	916	9497
88	931	9535
89	941	9523
90	956	9557
91	964	9522
92	973	9492
93	991	9553
94	1002	9549
95	1019	9598
96	1027	9567
97	1049	9656
98	1062	9669
99	1070	9635
100	1079	9606
101	1087	9573
102	1101	9596
103	1113	9596
104	1122	9566
105	1136	9586
106	1144	9554
107	1153	9529
108	1164	9517
109	1172	9486
110	1181	9465
111	1191	9446
112	1200	9420
113	1208	9391
114	1217	9372
115	1258	9591
116	1267	9562
117	1275	9534
118	1285	9514
119	1299	9532
120	1310	9517
121	1320	9502
122	1331	9491
123	1348	9524
124	1359	9513
125	1367	9486
126	1376	9459
127	1382	9419
128	1390	9388
129	1398	9358
130	1406	9329
131	1416	9312
132	1424	9286
133	1433	9265
134	1444	9256
135	1452	9230
136	1460	9202
137	1468	9171
138	1480	9170
139	1493	9172
140	1503	9158
141	1514	9150
142	1522	9125
143	1528	9084
144	1537	9068
145	1545	9042
146	1553	9012
147	1561	8991
148	1569	8966
149	1581	8961
150	1589	8935
151	1596	8907
152	1603	8877
153	1612	8856
154	1619	8827
155	1627	8805
156	1635	8779
157	1643	8758
158	1651	8734
159	1659	8711
160	1666	8682
161	1674	8663
162	1682	8638
163	1689	8612
164	1698	8593
165	1704	8565
166	1716	8560
167	1732	8579
168	1740	8557
169	1749	8540
170	1757	8520
171	1765	8500
172	1773	8478
173	1780	8454
174	1788	8431
175	1796	8412
176	1805	8393
177	1812	8368
178	1820	8349
179	1827	8326
180	1836	8308
181	1845	8292
182	1858	8296
183	1871	8299
184	1879	8280
185	1887	8259
186	1895	8242
187	1903	8221
188	1915	8220
189	1925	8208
190	1933	8189
191	1945	8189
192	1954	8172
193	1962	8151
194	1974	8149
195	1982	8132
196	1990	8113
197	1999	8097
198	2008	8086
199	2016	8066
200	2026	8055
201	2033	8034
202	2042	8020
203	2050	7999
204	2060	7990
205	2068	7972
206	2077	7959
207	2085	7940
208	2092	7918
209	2098	7893
210	2104	7870
211	2110	7845
212	2116	7821
213	2124	7803
214	2131	7783
215	2138	7763
216	2145	7740
217	2153	7726
218	2162	7710
219	2169	7693
220	2176	7672
221	2184	7655
222	2191	7634
223	2198	7615
224	2204	7593
225	2212	7576
226	2219	7558
227	2226	7538
228	2232	7516
229	2240	7500
230	2246	7478
231	2254	7463
232	2264	7454
233	2271	7435
234	2277	7414
235	2285	7397
236	2290	7373
237	2296	7353
238	2304	7337
239	2310	7315
240	2316	7296
241	2324	7280
242	2332	7265
243	2340	7252
244	2349	7239
245	2355	7220
246	2366	7213
247	2373	7197
248	2380	7180
249	2387	7162
250	2393	7142
251	2399	7123
252	2406	7105
253	2413	7088
254	2422	7076
255	2429	7061
256	2437	7046
257	2448	7042
258	2457	7029
259	2465	7016
260	2472	7001
261	2479	6985
262	2486	6968
263	2496	6959
264	2505	6948
265	2516	6942
266	2524	6930
267	2531	6915
268	2539	6899
269	2545	6882
270	2552	6866
271	2558	6848
272	2564	6830
273	2572	6815
274	2580	6804
275	2587	6788
276	2594	6770
277	2600	6754
278	2606	6736
279	2613	6720
280	2619	6703
281	2626	6687
282	2632	6670
283	2639	6654
284	2649	6647
285	2656	6631
286	2663	6616
287	2669	6600
288	2677	6586
289	2684	6572
290	2694	6563
291	2703	6553
292	2712	6546
293	2720	6533
294	2727	6519
295	2733	6502
296	2741	6487
297	2748	6473
298	2753	6455
299	2759	6438
300	2766	6423
301	2771	6405
302	2779	6393
303	2785	6377
304	2792	6363
305	2798	6347
306	2805	6331
307	2812	6320
308	2818	6303
